"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
587,"P02538","KRT6A","Keratin; type II cytoskeletal 6A ",1,"Non-Exosome","0.814"," 0.283 +/- 0.026","-1.823","0.141 +/- 0.021","-2.828",5,11.3
588,"P04264","KRT1","Keratin; type II cytoskeletal 1 ",1,"Non-Exosome","0.885"," 0.821 +/- 0.075","-0.284","0.402 +/- 0.053","-1.313",19,27.3
589,"P05787-2","KRT8","Isoform 2 of Keratin; type II cytoskeletal 8 ",1,"Non-Exosome","0.862"," 0.332 +/- 0.028","-1.590","0.165 +/- 0.014","-2.596",21,50.9
590,"P08670","VIM","Vimentin ",1,"Non-Exosome","0.915"," 0.410 +/- 0.004","-1.287","0.234 +/- 0.027","-2.098",22,65.9
591,"P08729","KRT7","Keratin; type II cytoskeletal 7 ",1,"Non-Exosome","0.905"," 0.348 +/- 0.012","-1.523","0.226 +/- 0.009","-2.147",20,48.2
592,"P24534","EEF1B2","Elongation factor 1-beta ",1,"Non-Exosome","0.915"," 0.480 +/- 0.014","-1.057","0.232 +/- 0.009","-2.111",4,16.4
593,"P29692-2","EEF1D","Isoform 2 of Elongation factor 1-delta ",1,"Non-Exosome","0.891"," 0.751 +/- 0.154","-0.412","0.250 +/- 0.038","-1.998",5,24.5
594,"P35908","KRT2","Keratin; type II cytoskeletal 2 epidermal ",1,"Non-Exosome","0.916"," 0.667 +/- 0.068","-0.585","0.362 +/- 0.030","-1.464",12,16.4
595,"P06396-2","GSN","Isoform 2 of Gelsolin ",0.0433,"Non-Exosome","0.919"," 0.529 +/- 0.020","-0.920","0.251 +/- 0.019","-1.995",8,0
596,"P06396-3","GSN","Isoform 3 of Gelsolin ",1,"Non-Exosome","0.919"," 0.529 +/- 0.020","-0.920","0.251 +/- 0.019","-1.995",8,11.9
597,"P09769","FGR","Tyrosine-protein kinase Fgr ",0.0028,"Non-Exosome","0.909"," 0.689 +/- 0.111","-0.537","0.399 +/- 0.104","-1.327",2,0
598,"P28482-2","MAPK1","Isoform 2 of Mitogen-activated protein kinase 1 ",0.0035,"Non-Exosome","0.928"," 0.527 +/- 0.107","-0.925","0.317 +/- 0.027","-1.659",1,0
599,"B4DPY6","MET","Hepatocyte growth factor receptor ",0.0035,"Exosome","0.721"," 1.552 +/- 0.232"," 0.635","1.019 +/- 0.356"," 0.027",1,0
600,"Q00535-2","CDK5","Isoform 2 of Cyclin-dependent kinase 5 ",0.007,"Non-Exosome","0.912"," 0.660 +/- 0.078","-0.599","0.410 +/- 0.106","-1.287",2,0
601,"E9PJF0","MAPK3","Mitogen-activated protein kinase 3 ",0.0073,"Non-Exosome","0.928"," 0.532 +/- 0.112","-0.909","0.319 +/- 0.029","-1.650",2,0
602,"P27361-2","MAPK3","Isoform 2 of Mitogen-activated protein kinase 3 ",0.0144,"Non-Exosome","0.928"," 0.525 +/- 0.105","-0.930","0.308 +/- 0.018","-1.699",3,0
603,"P12931-2","SRC","Isoform 2 of Proto-oncogene tyrosine-protein kinase Src ",0.6624,"Non-Exosome","0.692"," 1.058 +/- 0.038"," 0.081","0.654 +/- 0.148","-0.613",5,9.9
604,"P10721-2","KIT","Isoform 2 of Mast/stem cell growth factor receptor Kit ",0.6781,"Non-Exosome","0.928"," 0.527 +/- 0.107","-0.925","0.317 +/- 0.027","-1.659",1,1.6
605,"P17948-5","FLT1","Isoform 5 of Vascular endothelial growth factor receptor 1 ",0.7182,"Non-Exosome","0.928"," 0.527 +/- 0.107","-0.925","0.317 +/- 0.027","-1.659",1,4.4
606,"P53667-2","LIMK1","Isoform 2 of LIM domain kinase 1 ",0.8399,"Exosome","0.721"," 1.552 +/- 0.232"," 0.635","1.019 +/- 0.356"," 0.027",1,2.9
607,"P08581-2","MET","Isoform 2 of Hepatocyte growth factor receptor ",0.9755,"Exosome","0.721"," 1.552 +/- 0.232"," 0.635","1.019 +/- 0.356"," 0.027",1,1.9
608,"P24941-2","CDK2","Isoform 2 of Cyclin-dependent kinase 2 ",0.9927,"Non-Exosome","0.917"," 0.622 +/- 0.040","-0.684","0.401 +/- 0.097","-1.320",2,3.4
609,"Q9NYV4-2","CDK12","Isoform 2 of Cyclin-dependent kinase 12 ",0.9964,"Non-Exosome","0.914"," 0.644 +/- 0.061","-0.636","0.410 +/- 0.106","-1.288",1,0.9
609,"P50750-2","CDK9","Isoform 2 of Cyclin-dependent kinase 9 ",0.9972,"Non-Exosome","0.914"," 0.644 +/- 0.061","-0.636","0.410 +/- 0.106","-1.288",1,4.3
609,"P20794-2","MAK","Isoform 2 of Serine/threonine-protein kinase MAK ",0.999,"Non-Exosome","0.923"," 0.584 +/- 0.054","-0.775","0.379 +/- 0.081","-1.399",2,5.6
609,"P28482","MAPK1","Mitogen-activated protein kinase 1 ",0.9997,"Non-Exosome","0.929"," 0.512 +/- 0.122","-0.967","0.314 +/- 0.029","-1.670",2,6.9
609,"P27361-3","MAPK3","Isoform 3 of Mitogen-activated protein kinase 3 ",0.9998,"Non-Exosome","0.928"," 0.525 +/- 0.105","-0.930","0.308 +/- 0.018","-1.699",3,10.2
609,"P07948-2","LYN","Isoform 2 of Tyrosine-protein kinase Lyn ",0.9999,"Non-Exosome","0.908"," 0.675 +/- 0.096","-0.567","0.420 +/- 0.126","-1.252",4,6.9
609,"P06493","CDK1","Cyclin-dependent kinase 1 ",1,"Non-Exosome","0.923"," 0.607 +/- 0.011","-0.719","0.345 +/- 0.053","-1.536",7,24.6
609,"P07947","YES1","Tyrosine-protein kinase Yes ",1,"Non-Exosome","0.905"," 0.662 +/- 0.084","-0.595","0.447 +/- 0.153","-1.161",6,9.8
610,"F8W0P7","ATP5B","ATP synthase subunit beta; mitochondrial (Fragment) ",0.0522,"Non-Exosome","0.881"," 0.722 +/- 0.316","-0.471","0.218 +/- 0.002","-2.200",4,0
610,"H0YI37","ATP5B","ATP synthase subunit beta; mitochondrial (Fragment) ",0.3279,"Non-Exosome","0.620"," 1.850 +/- 1.670"," 0.888","0.205 +/- 0.165","-2.286",1,24.8
610,"P06576","ATP5B","ATP synthase subunit beta; mitochondrial ",1,"Non-Exosome","0.913"," 0.500 +/- 0.058","-1.000","0.227 +/- 0.013","-2.142",11,33.1
611,"E5RG95","ENO3","Beta-enolase (Fragment) ",0.0081,"Non-Exosome","0.872"," 0.803 +/- 0.053","-0.316","0.473 +/- 0.103","-1.079",2,0
611,"E5RGZ4","ENO3","Enolase (Fragment) ",0.0085,"Non-Exosome","0.610"," 0.888 +/- 0.012","-0.171","0.907 +/- 0.507","-0.141",3,0
611,"P13929-2","ENO3","Isoform 2 of Beta-enolase ",0.9973,"Non-Exosome","0.876"," 0.632 +/- 0.037","-0.661","0.571 +/- 0.225","-0.809",5,14.3
611,"P06733","ENO1","Alpha-enolase ",1,"Non-Exosome","0.871"," 0.805 +/- 0.101","-0.313","0.474 +/- 0.000","-1.076",17,41
611,"P09104","ENO2","Gamma-enolase ",1,"Exosome","0.632"," 1.223 +/- 0.317"," 0.291","1.050 +/- 0.454"," 0.070",4,14.6
612,"P06744-2","GPI","Isoform 2 of Glucose-6-phosphate isomerase ",1,"Non-Exosome","0.872"," 0.829 +/- 0.061","-0.271","0.451 +/- 0.095","-1.148",6,14
613,"P06748-2","NPM1","Isoform 2 of Nucleophosmin ",1,"Non-Exosome","0.756"," 0.249 +/- 0.020","-2.008","0.118 +/- 0.023","-3.077",9,32
613,"P41252","IARS","Isoleucine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.922"," 0.438 +/- 0.022","-1.190","0.254 +/- 0.055","-1.978",13,12.1
614,"P67936-2","TPM4","Isoform 2 of Tropomyosin alpha-4 chain ",0.0362,"Non-Exosome","0.901"," 0.762 +/- 0.012","-0.391","0.363 +/- 0.030","-1.461",8,0
614,"J3KN67","TPM3","Tropomyosin alpha-3 chain ",0.0572,"Non-Exosome","0.917"," 0.665 +/- 0.038","-0.589","0.331 +/- 0.005","-1.593",11,0
614,"P07951","TPM2","Tropomyosin beta chain ",0.9999,"Non-Exosome","0.897"," 0.784 +/- 0.028","-0.351","0.358 +/- 0.064","-1.482",7,22.9
614,"P06753-2","TPM3","Isoform 2 of Tropomyosin alpha-3 chain ",1,"Non-Exosome","0.917"," 0.661 +/- 0.048","-0.598","0.350 +/- 0.011","-1.514",13,55.6
614,"P09493-3","TPM1","Isoform 3 of Tropomyosin alpha-1 chain ",1,"Non-Exosome","0.900"," 0.773 +/- 0.007","-0.372","0.351 +/- 0.046","-1.510",7,22.2
614,"P67936","TPM4","Tropomyosin alpha-4 chain ",1,"Non-Exosome","0.908"," 0.712 +/- 0.014","-0.489","0.379 +/- 0.002","-1.398",9,46
615,"P06756-2","ITGAV","Isoform 2 of Integrin alpha-V ",1,"Exosome","0.599"," 1.349 +/- 0.156"," 0.431","0.892 +/- 0.095","-0.165",18,25.4
616,"P07099","EPHX1","Epoxide hydrolase 1 ",1,"Non-Exosome","0.921"," 0.450 +/- 0.125","-1.151","0.251 +/- 0.039","-1.995",5,15.6
617,"P07203","GPX1","Glutathione peroxidase 1 ",1,"Non-Exosome","0.921"," 0.588 +/- 0.052","-0.767","0.280 +/- 0.010","-1.837",2,9.9
618,"P07339","CTSD","Cathepsin D ",1,"Non-Exosome","0.925"," 0.579 +/- 0.086","-0.788","0.322 +/- 0.040","-1.634",7,21.6
619,"H0YNP5","ANXA2","Annexin (Fragment) ",0.1172,"Non-Exosome","0.918"," 0.639 +/- 0.022","-0.646","0.373 +/- 0.011","-1.423",12,53.7
619,"A6NMY6","ANXA2P2","Putative annexin A2-like protein ",0.1751,"Non-Exosome","0.925"," 0.572 +/- 0.006","-0.807","0.301 +/- 0.023","-1.734",19,47.8
619,"P07355-2","ANXA2","Isoform 2 of Annexin A2 ",1,"Non-Exosome","0.925"," 0.581 +/- 0.013","-0.783","0.318 +/- 0.010","-1.654",23,59.9
620,"P02748","C9","Complement component C9 ",0.9941,"Non-Exosome","0.668"," 1.125 +/- 0.445"," 0.170","0.645 +/- 0.145","-0.633",1,3.2
621,"P07384","CAPN1","Calpain-1 catalytic subunit ",1,"Non-Exosome","0.919"," 0.580 +/- 0.040","-0.786","0.422 +/- 0.268","-1.243",3,4.6
622,"P07686","HEXB","Beta-hexosaminidase subunit beta ",1,"Non-Exosome","0.840"," 0.438 +/- 0.138","-1.193","0.142 +/- 0.018","-2.811",1,2.7
623,"P07737","PFN1","Profilin-1 ",1,"Non-Exosome","0.913"," 0.694 +/- 0.042","-0.527","0.339 +/- 0.006","-1.559",6,58.6
624,"P07814","EPRS","Bifunctional glutamate/proline--tRNA ligase ",1,"Non-Exosome","0.915"," 0.368 +/- 0.008","-1.444","0.252 +/- 0.112","-1.986",2,2.8
625,"P07858","CTSB","Cathepsin B ",1,"Non-Exosome","0.743"," 1.290 +/- 0.670"," 0.367","0.415 +/- 0.195","-1.269",2,7.4
626,"Q5QPM0","RALY","RNA-binding protein Raly (Fragment) ",0.0353,"Non-Exosome","0.893"," 0.336 +/- 0.013","-1.573","0.206 +/- 0.020","-2.283",6,0
626,"O75691","UTP20","Small subunit processome component 20 homolog ",1,"Non-Exosome","0.910"," 0.418 +/- 0.112","-1.260","0.219 +/- 0.069","-2.191",6,1.8
626,"P07910-2","HNRNPC","Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 ",1,"Non-Exosome","0.794"," 0.265 +/- 0.003","-1.916","0.133 +/- 0.023","-2.907",5,32.5
626,"Q9UKM9-2","RALY","Isoform 1 of RNA-binding protein Raly ",1,"Non-Exosome","0.881"," 0.315 +/- 0.003","-1.664","0.194 +/- 0.029","-2.368",7,31.6
627,"P07954-2","FH","Isoform Cytoplasmic of Fumarate hydratase; mitochondrial ",1,"Non-Exosome","0.928"," 0.490 +/- 0.062","-1.030","0.374 +/- 0.118","-1.419",7,21.8
628,"E5RFF0","ANXA6","Annexin A6 (Fragment) ",0.0233,"Non-Exosome","0.910"," 0.713 +/- 0.071","-0.488","0.351 +/- 0.049","-1.509",3,0
628,"P08133-2","ANXA6","Isoform 2 of Annexin A6 ",1,"Non-Exosome","0.909"," 0.718 +/- 0.055","-0.478","0.343 +/- 0.007","-1.544",25,44.3
628,"P09525","ANXA4","Annexin A4 ",1,"Non-Exosome","0.921"," 0.579 +/- 0.022","-0.789","0.273 +/- 0.074","-1.871",10,37.8
628,"P50995-2","ANXA11","Isoform 2 of Annexin A11 ",1,"Non-Exosome","0.920"," 0.623 +/- 0.063","-0.683","0.381 +/- 0.023","-1.393",6,15.9
629,"Q6P3S1-2","DENND1B","Isoform 2 of DENN domain-containing protein 1B ",0.004,"Exosome","0.831"," 1.880 +/- 0.240"," 0.911","1.280 +/- 0.050"," 0.356",1,0
629,"P08174-2","CD55","Isoform 1 of Complement decay-accelerating factor ",1,"Exosome","0.781"," 1.564 +/- 0.019"," 0.645","1.218 +/- 0.041"," 0.284",9,32.1
630,"P08195-2","SLC3A2","Isoform 2 of 4F2 cell-surface antigen heavy chain ",1,"Exosome","0.604"," 1.394 +/- 0.129"," 0.479","0.873 +/- 0.080","-0.196",16,39.3
631,"P08237-3","PFKM","Isoform 3 of ATP-dependent 6-phosphofructokinase; muscle type ",1,"Non-Exosome","0.901"," 0.499 +/- 0.189","-1.004","0.202 +/- 0.172","-2.304",3,4.7
632,"O00585","CCL21","C-C motif chemokine 21 ",0.0031,"Non-Exosome","0.922"," 0.410 +/- 0.070","-1.286","0.260 +/- 0.205","-1.943",1,0
632,"Q58FF6","HSP90AB4P","Putative heat shock protein HSP 90-beta 4 ",0.035,"Non-Exosome","0.917"," 0.464 +/- 0.063","-1.108","0.236 +/- 0.015","-2.086",10,0
632,"Q14568","HSP90AA2","Putative heat shock protein HSP 90-alpha A2 ",0.0426,"Non-Exosome","0.918"," 0.463 +/- 0.034","-1.111","0.239 +/- 0.007","-2.067",10,0
632,"Q58FF8","HSP90AB2P","Putative heat shock protein HSP 90-beta 2 ",0.0729,"Non-Exosome","0.924"," 0.467 +/- 0.001","-1.099","0.262 +/- 0.002","-1.934",16,0
632,"Q58FF3","HSP90B2P","Putative endoplasmin-like protein ",0.0844,"Non-Exosome","0.820"," 0.293 +/- 0.021","-1.770","0.142 +/- 0.002","-2.817",6,0
632,"Q58FF7","HSP90AB3P","Putative heat shock protein HSP 90-beta-3 ",0.119,"Non-Exosome","0.926"," 0.533 +/- 0.053","-0.906","0.286 +/- 0.028","-1.804",19,26.3
632,"Q86UQ4-3","ABCA13","Isoform 3 of ATP-binding cassette sub-family A member 13 ",0.1448,"Non-Exosome","0.917"," 0.655 +/- 0.225","-0.610","0.313 +/- 0.123","-1.674",1,0.7
632,"P07900-2","HSP90AA1","Isoform 2 of Heat shock protein HSP 90-alpha ",1,"Non-Exosome","0.925"," 0.549 +/- 0.010","-0.864","0.283 +/- 0.023","-1.820",28,35.5
632,"P08238","HSP90AB1","Heat shock protein HSP 90-beta ",1,"Non-Exosome","0.927"," 0.535 +/- 0.030","-0.901","0.294 +/- 0.010","-1.764",35,42.1
632,"P14625","HSP90B1","Endoplasmin ",1,"Non-Exosome","0.901"," 0.397 +/- 0.015","-1.331","0.204 +/- 0.001","-2.292",27,46
632,"Q12931-2","TRAP1","Isoform 2 of Heat shock protein 75 kDa; mitochondrial ",1,"Non-Exosome","0.898"," 0.682 +/- 0.018","-0.552","0.465 +/- 0.117","-1.104",10,19
632,"Q9Y2X3","NOP58","Nucleolar protein 58 ",1,"Non-Exosome","0.919"," 0.401 +/- 0.023","-1.318","0.252 +/- 0.024","-1.989",6,16.8
633,"P29803","PDHA2","Pyruvate dehydrogenase E1 component subunit alpha; testis-specific form; mitochondrial ",0.0098,"Non-Exosome","0.909"," 0.640 +/- 0.290","-0.644","0.442 +/- 0.172","-1.176",1,0
633,"P08559-2","PDHA1","Isoform 2 of Pyruvate dehydrogenase E1 component subunit alpha; somatic form; mitochondrial ",1,"Non-Exosome","0.908"," 0.395 +/- 0.022","-1.340","0.218 +/- 0.031","-2.200",8,22.6
634,"P09012","SNRPA","U1 small nuclear ribonucleoprotein A ",0.9993,"Non-Exosome","0.927"," 0.455 +/- 0.105","-1.136","0.282 +/- 0.007","-1.824",2,11.7
634,"P08579","SNRPB2","U2 small nuclear ribonucleoprotein B'' ",0.9997,"Non-Exosome","0.922"," 0.427 +/- 0.133","-1.229","0.255 +/- 0.035","-1.971",3,10.2
635,"P08582","MFI2","Melanotransferrin ",1,"Non-Exosome","0.902"," 0.745 +/- 0.085","-0.425","0.294 +/- 0.042","-1.764",8,16.9
636,"P08621-2","SNRNP70","Isoform 2 of U1 small nuclear ribonucleoprotein 70 kDa ",1,"Non-Exosome","0.897"," 0.438 +/- 0.028","-1.191","0.194 +/- 0.020","-2.362",4,12.6
637,"P08648","ITGA5","Integrin alpha-5 ",1,"Non-Exosome","0.807"," 0.808 +/- 0.141","-0.308","0.631 +/- 0.063","-0.664",8,9.5
638,"P08708","RPS17","40S ribosomal protein S17 ",1,"Non-Exosome","0.923"," 0.387 +/- 0.007","-1.371","0.286 +/- 0.081","-1.807",4,23
639,"D6RBL5","ANXA5","Annexin ",0.0503,"Non-Exosome","0.891"," 0.817 +/- 0.050","-0.292","0.313 +/- 0.055","-1.678",8,0
639,"P08758","ANXA5","Annexin A5 ",1,"Non-Exosome","0.885"," 0.849 +/- 0.005","-0.237","0.353 +/- 0.093","-1.504",10,31.6
640,"P08865","RPSA","40S ribosomal protein SA ",1,"Non-Exosome","0.922"," 0.553 +/- 0.146","-0.854","0.269 +/- 0.038","-1.895",4,18.3
641,"P08962-2","CD63","Isoform 2 of CD63 antigen ",1,"Exosome","0.867"," 3.769 +/- 0.440"," 1.914","3.656 +/- 0.450"," 1.870",1,18.8
642,"P09382","LGALS1","Galectin-1 ",1,"Non-Exosome","0.928"," 0.510 +/- 0.137","-0.971","0.297 +/- 0.059","-1.749",4,52.6
643,"P09429","HMGB1","High mobility group protein B1 ",1,"Non-Exosome","0.886"," 0.768 +/- 0.088","-0.382","0.245 +/- 0.085","-2.029",2,28.4
644,"P28161-2","GSTM2","Isoform 2 of Glutathione S-transferase Mu 2 ",0.0099,"Non-Exosome","0.915"," 0.393 +/- 0.063","-1.346","0.238 +/- 0.032","-2.069",2,0
644,"P46439","GSTM5","Glutathione S-transferase Mu 5 ",0.0196,"Non-Exosome","0.905"," 0.352 +/- 0.002","-1.504","0.225 +/- 0.002","-2.152",3,0
644,"P09488-2","GSTM1","Isoform 2 of Glutathione S-transferase Mu 1 ",1,"Non-Exosome","0.891"," 0.370 +/- 0.007","-1.434","0.192 +/- 0.022","-2.383",3,21.5
645,"P09496-2","CLTA","Isoform Non-brain of Clathrin light chain A ",1,"Non-Exosome","0.900"," 0.773 +/- 0.081","-0.371","0.342 +/- 0.018","-1.548",4,18.8
646,"P09497-2","CLTB","Isoform Non-brain of Clathrin light chain B ",1,"Non-Exosome","0.914"," 0.500 +/- 0.020","-1.000","0.230 +/- 0.000","-2.120",2,19.4
647,"P09543","CNP","2';3'-cyclic-nucleotide 3'-phosphodiesterase ",1,"Exosome","0.881"," 2.535 +/- 0.159"," 1.342","1.714 +/- 0.107"," 0.777",19,47
647,"Q1KMD3","HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2 ",1,"Non-Exosome","0.923"," 0.611 +/- 0.009","-0.710","0.336 +/- 0.006","-1.572",7,12.4
648,"P09622","DLD","Dihydrolipoyl dehydrogenase; mitochondrial ",1,"Non-Exosome","0.915"," 0.487 +/- 0.110","-1.037","0.231 +/- 0.128","-2.114",6,17.7
649,"P09661","SNRPA1","U2 small nuclear ribonucleoprotein A' ",1,"Non-Exosome","0.823"," 0.271 +/- 0.069","-1.884","0.150 +/- 0.044","-2.732",2,16.2
650,"P09669","COX6C","Cytochrome c oxidase subunit 6C ",1,"Non-Exosome","0.927"," 0.451 +/- 0.005","-1.148","0.282 +/- 0.003","-1.829",3,20
651,"P09874","PARP1","Poly [ADP-ribose] polymerase 1 ",1,"Non-Exosome","0.900"," 0.329 +/- 0.017","-1.603","0.223 +/- 0.013","-2.163",11,17.8
652,"P09914-2","IFIT1","Isoform 2 of Interferon-induced protein with tetratricopeptide repeats 1 ",1,"Non-Exosome","0.826"," 0.990 +/- 0.150","-0.014","0.455 +/- 0.025","-1.136",2,10.1
653,"P09960-4","LTA4H","Isoform 4 of Leukotriene A-4 hydrolase ",1,"Non-Exosome","0.920"," 0.610 +/- 0.050","-0.713","0.392 +/- 0.012","-1.349",3,9.5
654,"P10155-3","TROVE2","Isoform 3 of 60 kDa SS-A/Ro ribonucleoprotein ",1,"Non-Exosome","0.924"," 0.455 +/- 0.055","-1.136","0.265 +/- 0.015","-1.916",1,3.1
655,"P10515","DLAT","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; mitochondrial ",1,"Non-Exosome","0.900"," 0.407 +/- 0.034","-1.296","0.201 +/- 0.007","-2.314",10,18.4
656,"P10599","TXN","Thioredoxin ",1,"Non-Exosome","0.905"," 0.684 +/- 0.025","-0.548","0.430 +/- 0.050","-1.219",3,36.2
657,"F5H760","MGST1","Microsomal glutathione S-transferase 1 (Fragment) ",0.0141,"Non-Exosome","0.867"," 0.338 +/- 0.068","-1.567","0.169 +/- 0.006","-2.563",3,0
658,"P10620","MGST1","Microsomal glutathione S-transferase 1 ",1,"Non-Exosome","0.867"," 0.338 +/- 0.068","-1.567","0.169 +/- 0.006","-2.563",3,23.2
659,"P05187","ALPP","Alkaline phosphatase; placental type ",1,"Exosome","0.650"," 1.529 +/- 0.023"," 0.613","0.882 +/- 0.097","-0.182",9,28.4
659,"P10696","ALPPL2","Alkaline phosphatase; placental-like ",1,"Exosome","0.653"," 1.573 +/- 0.080"," 0.653","0.865 +/- 0.092","-0.209",11,34.6
660,"P10768","ESD","S-formylglutathione hydrolase ",1,"Non-Exosome","0.900"," 0.552 +/- 0.022","-0.856","0.208 +/- 0.038","-2.269",2,5
661,"P10809","HSPD1","60 kDa heat shock protein; mitochondrial ",1,"Non-Exosome","0.906"," 0.342 +/- 0.051","-1.547","0.233 +/- 0.041","-2.101",18,37.9
662,"P10909-2","CLU","Isoform 2 of Clusterin ",1,"Non-Exosome","0.805"," 0.678 +/- 0.148","-0.562","0.142 +/- 0.072","-2.811",2,8.4
663,"Q00341-2","HDLBP","Isoform 2 of Vigilin ",0.9994,"Non-Exosome","0.831"," 0.822 +/- 0.278","-0.282","0.182 +/- 0.072","-2.454",3,1.4
663,"P11047","LAMC1","Laminin subunit gamma-1 ",1,"Non-Exosome","0.883"," 0.796 +/- 0.326","-0.328","0.435 +/- 0.135","-1.201",6,5.2
664,"P48741","HSPA7","Putative heat shock 70 kDa protein 7 ",0.005,"Exosome","0.774"," 1.515 +/- 0.176"," 0.599","1.224 +/- 0.017"," 0.292",6,0
664,"E9PK54","HSPA8","Heat shock cognate 71 kDa protein (Fragment) ",0.1338,"Exosome","0.803"," 1.599 +/- 0.144"," 0.677","1.302 +/- 0.083"," 0.381",16,88
664,"P17066","HSPA6","Heat shock 70 kDa protein 6 ",0.952,"Exosome","0.867"," 2.027 +/- 0.219"," 1.020","1.598 +/- 0.003"," 0.676",10,17.7
664,"P08107","HSPA1A","Heat shock 70 kDa protein 1A/1B ",1,"Exosome","0.774"," 1.534 +/- 0.011"," 0.617","1.207 +/- 0.114"," 0.272",24,45.1
664,"P11021","HSPA5","78 kDa glucose-regulated protein ",1,"Non-Exosome","0.906"," 0.678 +/- 0.036","-0.561","0.430 +/- 0.038","-1.217",31,51.1
664,"P11142","HSPA8","Heat shock cognate 71 kDa protein ",1,"Exosome","0.852"," 1.816 +/- 0.032"," 0.861","1.547 +/- 0.043"," 0.630",28,52.3
664,"P34931","HSPA1L","Heat shock 70 kDa protein 1-like ",1,"Exosome","0.746"," 1.455 +/- 0.000"," 0.541","1.165 +/- 0.060"," 0.220",15,26.5
664,"P54652","HSPA2","Heat shock-related 70 kDa protein 2 ",1,"Exosome","0.861"," 1.870 +/- 0.124"," 0.903","1.641 +/- 0.010"," 0.714",13,21.4
665,"P11166","SLC2A1","Solute carrier family 2; facilitated glucose transporter member 1 ",1,"Non-Exosome","0.512"," 1.154 +/- 0.093"," 0.207","0.846 +/- 0.078","-0.241",9,12.2
666,"P11169","SLC2A3","Solute carrier family 2; facilitated glucose transporter member 3 ",1,"Non-Exosome","0.797"," 0.880 +/- 0.190","-0.184","0.601 +/- 0.348","-0.735",2,4.6
667,"P11172","UMPS","Uridine 5'-monophosphate synthase ",1,"Non-Exosome","0.923"," 0.568 +/- 0.155","-0.816","0.393 +/- 0.184","-1.346",7,14.2
668,"Q8WXG9","GPR98","G-protein coupled receptor 98 ",0.859,"Non-Exosome","0.787"," 0.452 +/- 0.032","-1.144","0.118 +/- 0.002","-3.089",2,0.4
668,"P11177-2","PDHB","Isoform 2 of Pyruvate dehydrogenase E1 component subunit beta; mitochondrial ",1,"Non-Exosome","0.876"," 0.327 +/- 0.035","-1.612","0.181 +/- 0.032","-2.463",7,23.5
669,"O75881","CYP7B1","25-hydroxycholesterol 7-alpha-hydroxylase ",0.0014,"Non-Exosome","0.913"," 0.690 +/- 0.090","-0.535","0.355 +/- 0.025","-1.494",1,0
669,"P11217-2","PYGM","Isoform 2 of Glycogen phosphorylase; muscle form ",0.0992,"Non-Exosome","0.924"," 0.490 +/- 0.055","-1.030","0.263 +/- 0.037","-1.925",3,0
669,"P11217","PYGM","Glycogen phosphorylase; muscle form ",0.0992,"Non-Exosome","0.926"," 0.543 +/- 0.006","-0.881","0.292 +/- 0.012","-1.778",4,0
669,"P06737-2","PYGL","Isoform 2 of Glycogen phosphorylase; liver form ",1,"Non-Exosome","0.908"," 0.693 +/- 0.128","-0.529","0.402 +/- 0.095","-1.314",13,19.2
669,"P11216","PYGB","Glycogen phosphorylase; brain form ",1,"Non-Exosome","0.927"," 0.546 +/- 0.002","-0.873","0.310 +/- 0.025","-1.689",12,19.3
670,"H7C3P7","RALA","Ras-related protein Ral-A (Fragment) ",0.0317,"Non-Exosome","0.790"," 0.826 +/- 0.210","-0.275","0.650 +/- 0.056","-0.621",4,0
670,"P11233","RALA","Ras-related protein Ral-A ",1,"Non-Exosome","0.801"," 0.851 +/- 0.235","-0.233","0.613 +/- 0.019","-0.705",5,27.2
670,"P11234","RALB","Ras-related protein Ral-B ",1,"Exosome","0.714"," 1.465 +/- 0.155"," 0.551","1.057 +/- 0.317"," 0.080",3,26.7
671,"P11279","LAMP1","Lysosome-associated membrane glycoprotein 1 ",1,"Non-Exosome","0.926"," 0.448 +/- 0.108","-1.160","0.275 +/- 0.005","-1.862",2,6
672,"P11310-2","ACADM","Isoform 2 of Medium-chain specific acyl-CoA dehydrogenase; mitochondrial ",1,"Non-Exosome","0.901"," 0.369 +/- 0.047","-1.438","0.208 +/- 0.047","-2.263",7,24.4
673,"Q969P6-2","TOP1MT","Isoform 2 of DNA topoisomerase I; mitochondrial ",0.9999,"Non-Exosome","0.815"," 0.301 +/- 0.095","-1.732","0.137 +/- 0.017","-2.868",1,11.9
673,"P11387","TOP1","DNA topoisomerase 1 ",1,"Non-Exosome","0.910"," 0.451 +/- 0.036","-1.149","0.217 +/- 0.012","-2.204",11,21.8
674,"P11388-2","TOP2A","Isoform 2 of DNA topoisomerase 2-alpha ",1,"Non-Exosome","0.909"," 0.401 +/- 0.002","-1.318","0.219 +/- 0.009","-2.193",12,10.3
674,"Q02880-2","TOP2B","Isoform Beta-1 of DNA topoisomerase 2-beta ",1,"Non-Exosome","0.917"," 0.452 +/- 0.003","-1.145","0.236 +/- 0.026","-2.086",5,6.2
