"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"Q00535-2","Isoform 2 of Cyclin-dependent kinase 5 ","CDK5",600," 0.660 +/- 0.078","-0.599","0.410 +/- 0.106","-1.287","Non-Exosome","0.911"
"E9PJF0","Mitogen-activated protein kinase 3 ","MAPK3",601," 0.532 +/- 0.112","-0.909","0.319 +/- 0.029","-1.650","Non-Exosome","0.928"
"P27361-2","Isoform 2 of Mitogen-activated protein kinase 3 ","MAPK3",602," 0.525 +/- 0.105","-0.930","0.308 +/- 0.018","-1.699","Non-Exosome","0.928"
"P12931-2","Isoform 2 of Proto-oncogene tyrosine-protein kinase Src ","SRC",603," 1.058 +/- 0.038"," 0.081","0.654 +/- 0.148","-0.613","Non-Exosome","0.691"
"P10721-2","Isoform 2 of Mast/stem cell growth factor receptor Kit ","KIT",604," 0.527 +/- 0.107","-0.925","0.317 +/- 0.027","-1.659","Non-Exosome","0.928"
"P17948-5","Isoform 5 of Vascular endothelial growth factor receptor 1 ","FLT1",605," 0.527 +/- 0.107","-0.925","0.317 +/- 0.027","-1.659","Non-Exosome","0.928"
"P53667-2","Isoform 2 of LIM domain kinase 1 ","LIMK1",606," 1.552 +/- 0.232"," 0.635","1.019 +/- 0.356"," 0.027","Exosome","0.721"
"P08581-2","Isoform 2 of Hepatocyte growth factor receptor ","MET",607," 1.552 +/- 0.232"," 0.635","1.019 +/- 0.356"," 0.027","Exosome","0.721"
"P24941-2","Isoform 2 of Cyclin-dependent kinase 2 ","CDK2",608," 0.622 +/- 0.040","-0.684","0.401 +/- 0.097","-1.320","Non-Exosome","0.917"
"Q9NYV4-2","Isoform 2 of Cyclin-dependent kinase 12 ","CDK12",609," 0.644 +/- 0.061","-0.636","0.410 +/- 0.106","-1.288","Non-Exosome","0.913"
"P50750-2","Isoform 2 of Cyclin-dependent kinase 9 ","CDK9",609," 0.644 +/- 0.061","-0.636","0.410 +/- 0.106","-1.288","Non-Exosome","0.913"
"P20794-2","Isoform 2 of Serine/threonine-protein kinase MAK ","MAK",609," 0.584 +/- 0.054","-0.775","0.379 +/- 0.081","-1.399","Non-Exosome","0.923"
"P28482","Mitogen-activated protein kinase 1 ","MAPK1",609," 0.512 +/- 0.122","-0.967","0.314 +/- 0.029","-1.670","Non-Exosome","0.928"
"P27361-3","Isoform 3 of Mitogen-activated protein kinase 3 ","MAPK3",609," 0.525 +/- 0.105","-0.930","0.308 +/- 0.018","-1.699","Non-Exosome","0.928"
"P07948-2","Isoform 2 of Tyrosine-protein kinase Lyn ","LYN",609," 0.675 +/- 0.096","-0.567","0.420 +/- 0.126","-1.252","Non-Exosome","0.908"
"P06493","Cyclin-dependent kinase 1 ","CDK1",609," 0.607 +/- 0.011","-0.719","0.345 +/- 0.053","-1.536","Non-Exosome","0.923"
"P07947","Tyrosine-protein kinase Yes ","YES1",609," 0.662 +/- 0.084","-0.595","0.447 +/- 0.153","-1.161","Non-Exosome","0.904"
"F8W0P7","ATP synthase subunit beta; mitochondrial (Fragment) ","ATP5B",610," 0.722 +/- 0.316","-0.471","0.218 +/- 0.002","-2.200","Non-Exosome","0.880"
"H0YI37","ATP synthase subunit beta; mitochondrial (Fragment) ","ATP5B",610," 1.850 +/- 1.670"," 0.888","0.205 +/- 0.165","-2.286","Non-Exosome","0.619"
"P06576","ATP synthase subunit beta; mitochondrial ","ATP5B",610," 0.500 +/- 0.058","-1.000","0.227 +/- 0.013","-2.142","Non-Exosome","0.912"
"E5RG95","Beta-enolase (Fragment) ","ENO3",611," 0.803 +/- 0.053","-0.316","0.473 +/- 0.103","-1.079","Non-Exosome","0.871"
"E5RGZ4","Enolase (Fragment) ","ENO3",611," 0.888 +/- 0.012","-0.171","0.907 +/- 0.507","-0.141","Non-Exosome","0.609"
"P13929-2","Isoform 2 of Beta-enolase ","ENO3",611," 0.632 +/- 0.037","-0.661","0.571 +/- 0.225","-0.809","Non-Exosome","0.875"
"P06733","Alpha-enolase ","ENO1",611," 0.805 +/- 0.101","-0.313","0.474 +/- 0.000","-1.076","Non-Exosome","0.870"
"P09104","Gamma-enolase ","ENO2",611," 1.223 +/- 0.317"," 0.291","1.050 +/- 0.454"," 0.070","Exosome","0.632"
"P06744-2","Isoform 2 of Glucose-6-phosphate isomerase ","GPI",612," 0.829 +/- 0.061","-0.271","0.451 +/- 0.095","-1.148","Non-Exosome","0.871"
"P06748-2","Isoform 2 of Nucleophosmin ","NPM1",613," 0.249 +/- 0.020","-2.008","0.118 +/- 0.023","-3.077","Non-Exosome","0.755"
"P41252","Isoleucine--tRNA ligase; cytoplasmic ","IARS",613," 0.438 +/- 0.022","-1.190","0.254 +/- 0.055","-1.978","Non-Exosome","0.921"
"P67936-2","Isoform 2 of Tropomyosin alpha-4 chain ","TPM4",614," 0.762 +/- 0.012","-0.391","0.363 +/- 0.030","-1.461","Non-Exosome","0.900"
"J3KN67","Tropomyosin alpha-3 chain ","TPM3",614," 0.665 +/- 0.038","-0.589","0.331 +/- 0.005","-1.593","Non-Exosome","0.916"
"P07951","Tropomyosin beta chain ","TPM2",614," 0.784 +/- 0.028","-0.351","0.358 +/- 0.064","-1.482","Non-Exosome","0.897"
"P06753-2","Isoform 2 of Tropomyosin alpha-3 chain ","TPM3",614," 0.661 +/- 0.048","-0.598","0.350 +/- 0.011","-1.514","Non-Exosome","0.916"
"P09493-3","Isoform 3 of Tropomyosin alpha-1 chain ","TPM1",614," 0.773 +/- 0.007","-0.372","0.351 +/- 0.046","-1.510","Non-Exosome","0.899"
"P67936","Tropomyosin alpha-4 chain ","TPM4",614," 0.712 +/- 0.014","-0.489","0.379 +/- 0.002","-1.398","Non-Exosome","0.907"
"P06756-2","Isoform 2 of Integrin alpha-V ","ITGAV",615," 1.349 +/- 0.156"," 0.431","0.892 +/- 0.095","-0.165","Exosome","0.600"
"P07099","Epoxide hydrolase 1 ","EPHX1",616," 0.450 +/- 0.125","-1.151","0.251 +/- 0.039","-1.995","Non-Exosome","0.921"
"P07203","Glutathione peroxidase 1 ","GPX1",617," 0.588 +/- 0.052","-0.767","0.280 +/- 0.010","-1.837","Non-Exosome","0.920"
"P07339","Cathepsin D ","CTSD",618," 0.579 +/- 0.086","-0.788","0.322 +/- 0.040","-1.634","Non-Exosome","0.925"
"H0YNP5","Annexin (Fragment) ","ANXA2",619," 0.639 +/- 0.022","-0.646","0.373 +/- 0.011","-1.423","Non-Exosome","0.918"
"A6NMY6","Putative annexin A2-like protein ","ANXA2P2",619," 0.572 +/- 0.006","-0.807","0.301 +/- 0.023","-1.734","Non-Exosome","0.924"
"P07355-2","Isoform 2 of Annexin A2 ","ANXA2",619," 0.581 +/- 0.013","-0.783","0.318 +/- 0.010","-1.654","Non-Exosome","0.925"
"P02748","Complement component C9 ","C9",620," 1.125 +/- 0.445"," 0.170","0.645 +/- 0.145","-0.633","Non-Exosome","0.667"
"P07384","Calpain-1 catalytic subunit ","CAPN1",621," 0.580 +/- 0.040","-0.786","0.422 +/- 0.268","-1.243","Non-Exosome","0.918"
"P07686","Beta-hexosaminidase subunit beta ","HEXB",622," 0.438 +/- 0.138","-1.193","0.142 +/- 0.018","-2.811","Non-Exosome","0.839"
"P07737","Profilin-1 ","PFN1",623," 0.694 +/- 0.042","-0.527","0.339 +/- 0.006","-1.559","Non-Exosome","0.912"
"P07814","Bifunctional glutamate/proline--tRNA ligase ","EPRS",624," 0.368 +/- 0.008","-1.444","0.252 +/- 0.112","-1.986","Non-Exosome","0.915"
"P07858","Cathepsin B ","CTSB",625," 1.290 +/- 0.670"," 0.367","0.415 +/- 0.195","-1.269","Non-Exosome","0.742"
"Q5QPM0","RNA-binding protein Raly (Fragment) ","RALY",626," 0.336 +/- 0.013","-1.573","0.206 +/- 0.020","-2.283","Non-Exosome","0.893"
"O75691","Small subunit processome component 20 homolog ","UTP20",626," 0.418 +/- 0.112","-1.260","0.219 +/- 0.069","-2.191","Non-Exosome","0.909"
"P07910-2","Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 ","HNRNPC",626," 0.265 +/- 0.003","-1.916","0.133 +/- 0.023","-2.907","Non-Exosome","0.793"
"Q9UKM9-2","Isoform 1 of RNA-binding protein Raly ","RALY",626," 0.315 +/- 0.003","-1.664","0.194 +/- 0.029","-2.368","Non-Exosome","0.880"
"P07954-2","Isoform Cytoplasmic of Fumarate hydratase; mitochondrial ","FH",627," 0.490 +/- 0.062","-1.030","0.374 +/- 0.118","-1.419","Non-Exosome","0.927"
"E5RFF0","Annexin A6 (Fragment) ","ANXA6",628," 0.713 +/- 0.071","-0.488","0.351 +/- 0.049","-1.509","Non-Exosome","0.909"
"P08133-2","Isoform 2 of Annexin A6 ","ANXA6",628," 0.718 +/- 0.055","-0.478","0.343 +/- 0.007","-1.544","Non-Exosome","0.909"
"P09525","Annexin A4 ","ANXA4",628," 0.579 +/- 0.022","-0.789","0.273 +/- 0.074","-1.871","Non-Exosome","0.920"
"P50995-2","Isoform 2 of Annexin A11 ","ANXA11",628," 0.623 +/- 0.063","-0.683","0.381 +/- 0.023","-1.393","Non-Exosome","0.919"
"Q6P3S1-2","Isoform 2 of DENN domain-containing protein 1B ","DENND1B",629," 1.880 +/- 0.240"," 0.911","1.280 +/- 0.050"," 0.356","Exosome","0.830"
"P08174-2","Isoform 1 of Complement decay-accelerating factor ","CD55",629," 1.564 +/- 0.019"," 0.645","1.218 +/- 0.041"," 0.284","Exosome","0.781"
"P08195-2","Isoform 2 of 4F2 cell-surface antigen heavy chain ","SLC3A2",630," 1.394 +/- 0.129"," 0.479","0.873 +/- 0.080","-0.196","Exosome","0.605"
"P08237-3","Isoform 3 of ATP-dependent 6-phosphofructokinase; muscle type ","PFKM",631," 0.499 +/- 0.189","-1.004","0.202 +/- 0.172","-2.304","Non-Exosome","0.900"
"O00585","C-C motif chemokine 21 ","CCL21",632," 0.410 +/- 0.070","-1.286","0.260 +/- 0.205","-1.943","Non-Exosome","0.921"
"Q58FF6","Putative heat shock protein HSP 90-beta 4 ","HSP90AB4P",632," 0.464 +/- 0.063","-1.108","0.236 +/- 0.015","-2.086","Non-Exosome","0.916"
"Q14568","Putative heat shock protein HSP 90-alpha A2 ","HSP90AA2",632," 0.463 +/- 0.034","-1.111","0.239 +/- 0.007","-2.067","Non-Exosome","0.917"
"Q58FF8","Putative heat shock protein HSP 90-beta 2 ","HSP90AB2P",632," 0.467 +/- 0.001","-1.099","0.262 +/- 0.002","-1.934","Non-Exosome","0.923"
"Q58FF3","Putative endoplasmin-like protein ","HSP90B2P",632," 0.293 +/- 0.021","-1.770","0.142 +/- 0.002","-2.817","Non-Exosome","0.819"
"Q58FF7","Putative heat shock protein HSP 90-beta-3 ","HSP90AB3P",632," 0.533 +/- 0.053","-0.906","0.286 +/- 0.028","-1.804","Non-Exosome","0.925"
"Q86UQ4-3","Isoform 3 of ATP-binding cassette sub-family A member 13 ","ABCA13",632," 0.655 +/- 0.225","-0.610","0.313 +/- 0.123","-1.674","Non-Exosome","0.917"
"P07900-2","Isoform 2 of Heat shock protein HSP 90-alpha ","HSP90AA1",632," 0.549 +/- 0.010","-0.864","0.283 +/- 0.023","-1.820","Non-Exosome","0.924"
"P08238","Heat shock protein HSP 90-beta ","HSP90AB1",632," 0.535 +/- 0.030","-0.901","0.294 +/- 0.010","-1.764","Non-Exosome","0.926"
"P14625","Endoplasmin ","HSP90B1",632," 0.397 +/- 0.015","-1.331","0.204 +/- 0.001","-2.292","Non-Exosome","0.901"
"Q12931-2","Isoform 2 of Heat shock protein 75 kDa; mitochondrial ","TRAP1",632," 0.682 +/- 0.018","-0.552","0.465 +/- 0.117","-1.104","Non-Exosome","0.898"
"Q9Y2X3","Nucleolar protein 58 ","NOP58",632," 0.401 +/- 0.023","-1.318","0.252 +/- 0.024","-1.989","Non-Exosome","0.919"
"P29803","Pyruvate dehydrogenase E1 component subunit alpha; testis-specific form; mitochondrial ","PDHA2",633," 0.640 +/- 0.290","-0.644","0.442 +/- 0.172","-1.176","Non-Exosome","0.908"
"P08559-2","Isoform 2 of Pyruvate dehydrogenase E1 component subunit alpha; somatic form; mitochondrial ","PDHA1",633," 0.395 +/- 0.022","-1.340","0.218 +/- 0.031","-2.200","Non-Exosome","0.907"
"P09012","U1 small nuclear ribonucleoprotein A ","SNRPA",634," 0.455 +/- 0.105","-1.136","0.282 +/- 0.007","-1.824","Non-Exosome","0.926"
"P08579","U2 small nuclear ribonucleoprotein B'' ","SNRPB2",634," 0.427 +/- 0.133","-1.229","0.255 +/- 0.035","-1.971","Non-Exosome","0.921"
"P08582","Melanotransferrin ","MFI2",635," 0.745 +/- 0.085","-0.425","0.294 +/- 0.042","-1.764","Non-Exosome","0.902"
"P08621-2","Isoform 2 of U1 small nuclear ribonucleoprotein 70 kDa ","SNRNP70",636," 0.438 +/- 0.028","-1.191","0.194 +/- 0.020","-2.362","Non-Exosome","0.896"
"P08648","Integrin alpha-5 ","ITGA5",637," 0.808 +/- 0.141","-0.308","0.631 +/- 0.063","-0.664","Non-Exosome","0.806"
"P08708","40S ribosomal protein S17 ","RPS17",638," 0.387 +/- 0.007","-1.371","0.286 +/- 0.081","-1.807","Non-Exosome","0.922"
"D6RBL5","Annexin ","ANXA5",639," 0.817 +/- 0.050","-0.292","0.313 +/- 0.055","-1.678","Non-Exosome","0.890"
"P08758","Annexin A5 ","ANXA5",639," 0.849 +/- 0.005","-0.237","0.353 +/- 0.093","-1.504","Non-Exosome","0.884"
"P08865","40S ribosomal protein SA ","RPSA",640," 0.553 +/- 0.146","-0.854","0.269 +/- 0.038","-1.895","Non-Exosome","0.921"
"P08962-2","Isoform 2 of CD63 antigen ","CD63",641," 3.769 +/- 0.440"," 1.914","3.656 +/- 0.450"," 1.870","Exosome","0.867"
"P09382","Galectin-1 ","LGALS1",642," 0.510 +/- 0.137","-0.971","0.297 +/- 0.059","-1.749","Non-Exosome","0.927"
"P09429","High mobility group protein B1 ","HMGB1",643," 0.768 +/- 0.088","-0.382","0.245 +/- 0.085","-2.029","Non-Exosome","0.885"
"P28161-2","Isoform 2 of Glutathione S-transferase Mu 2 ","GSTM2",644," 0.393 +/- 0.063","-1.346","0.238 +/- 0.032","-2.069","Non-Exosome","0.914"
"P46439","Glutathione S-transferase Mu 5 ","GSTM5",644," 0.352 +/- 0.002","-1.504","0.225 +/- 0.002","-2.152","Non-Exosome","0.905"
"P09488-2","Isoform 2 of Glutathione S-transferase Mu 1 ","GSTM1",644," 0.370 +/- 0.007","-1.434","0.192 +/- 0.022","-2.383","Non-Exosome","0.890"
"P09496-2","Isoform Non-brain of Clathrin light chain A ","CLTA",645," 0.773 +/- 0.081","-0.371","0.342 +/- 0.018","-1.548","Non-Exosome","0.899"
"P09497-2","Isoform Non-brain of Clathrin light chain B ","CLTB",646," 0.500 +/- 0.020","-1.000","0.230 +/- 0.000","-2.120","Non-Exosome","0.914"
"P09543","2';3'-cyclic-nucleotide 3'-phosphodiesterase ","CNP",647," 2.535 +/- 0.159"," 1.342","1.714 +/- 0.107"," 0.777","Exosome","0.881"
"Q1KMD3","Heterogeneous nuclear ribonucleoprotein U-like protein 2 ","HNRNPUL2",647," 0.611 +/- 0.009","-0.710","0.336 +/- 0.006","-1.572","Non-Exosome","0.922"
"P09622","Dihydrolipoyl dehydrogenase; mitochondrial ","DLD",648," 0.487 +/- 0.110","-1.037","0.231 +/- 0.128","-2.114","Non-Exosome","0.914"
"P09661","U2 small nuclear ribonucleoprotein A' ","SNRPA1",649," 0.271 +/- 0.069","-1.884","0.150 +/- 0.044","-2.732","Non-Exosome","0.822"
"P09669","Cytochrome c oxidase subunit 6C ","COX6C",650," 0.451 +/- 0.005","-1.148","0.282 +/- 0.003","-1.829","Non-Exosome","0.926"
"P09874","Poly [ADP-ribose] polymerase 1 ","PARP1",651," 0.329 +/- 0.017","-1.603","0.223 +/- 0.013","-2.163","Non-Exosome","0.899"
"P09914-2","Isoform 2 of Interferon-induced protein with tetratricopeptide repeats 1 ","IFIT1",652," 0.990 +/- 0.150","-0.014","0.455 +/- 0.025","-1.136","Non-Exosome","0.825"
"P09960-4","Isoform 4 of Leukotriene A-4 hydrolase ","LTA4H",653," 0.610 +/- 0.050","-0.713","0.392 +/- 0.012","-1.349","Non-Exosome","0.919"
"P10155-3","Isoform 3 of 60 kDa SS-A/Ro ribonucleoprotein ","TROVE2",654," 0.455 +/- 0.055","-1.136","0.265 +/- 0.015","-1.916","Non-Exosome","0.924"
"P10515","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; mitochondrial ","DLAT",655," 0.407 +/- 0.034","-1.296","0.201 +/- 0.007","-2.314","Non-Exosome","0.900"
"P10599","Thioredoxin ","TXN",656," 0.684 +/- 0.025","-0.548","0.430 +/- 0.050","-1.219","Non-Exosome","0.905"
"F5H760","Microsomal glutathione S-transferase 1 (Fragment) ","MGST1",657," 0.338 +/- 0.068","-1.567","0.169 +/- 0.006","-2.563","Non-Exosome","0.866"
"P10620","Microsomal glutathione S-transferase 1 ","MGST1",658," 0.338 +/- 0.068","-1.567","0.169 +/- 0.006","-2.563","Non-Exosome","0.866"
"P05187","Alkaline phosphatase; placental type ","ALPP",659," 1.529 +/- 0.023"," 0.613","0.882 +/- 0.097","-0.182","Exosome","0.650"
"P10696","Alkaline phosphatase; placental-like ","ALPPL2",659," 1.573 +/- 0.080"," 0.653","0.865 +/- 0.092","-0.209","Exosome","0.653"
"P10768","S-formylglutathione hydrolase ","ESD",660," 0.552 +/- 0.022","-0.856","0.208 +/- 0.038","-2.269","Non-Exosome","0.899"
"P10809","60 kDa heat shock protein; mitochondrial ","HSPD1",661," 0.342 +/- 0.051","-1.547","0.233 +/- 0.041","-2.101","Non-Exosome","0.905"
"P10909-2","Isoform 2 of Clusterin ","CLU",662," 0.678 +/- 0.148","-0.562","0.142 +/- 0.072","-2.811","Non-Exosome","0.804"
"Q00341-2","Isoform 2 of Vigilin ","HDLBP",663," 0.822 +/- 0.278","-0.282","0.182 +/- 0.072","-2.454","Non-Exosome","0.830"
"P11047","Laminin subunit gamma-1 ","LAMC1",663," 0.796 +/- 0.326","-0.328","0.435 +/- 0.135","-1.201","Non-Exosome","0.883"
"P48741","Putative heat shock 70 kDa protein 7 ","HSPA7",664," 1.515 +/- 0.176"," 0.599","1.224 +/- 0.017"," 0.292","Exosome","0.774"
"E9PK54","Heat shock cognate 71 kDa protein (Fragment) ","HSPA8",664," 1.599 +/- 0.144"," 0.677","1.302 +/- 0.083"," 0.381","Exosome","0.803"
"P17066","Heat shock 70 kDa protein 6 ","HSPA6",664," 2.027 +/- 0.219"," 1.020","1.598 +/- 0.003"," 0.676","Exosome","0.867"
"P08107","Heat shock 70 kDa protein 1A/1B ","HSPA1A",664," 1.534 +/- 0.011"," 0.617","1.207 +/- 0.114"," 0.272","Exosome","0.773"
"P11021","78 kDa glucose-regulated protein ","HSPA5",664," 0.678 +/- 0.036","-0.561","0.430 +/- 0.038","-1.217","Non-Exosome","0.905"
"P11142","Heat shock cognate 71 kDa protein ","HSPA8",664," 1.816 +/- 0.032"," 0.861","1.547 +/- 0.043"," 0.630","Exosome","0.852"
"P34931","Heat shock 70 kDa protein 1-like ","HSPA1L",664," 1.455 +/- 0.000"," 0.541","1.165 +/- 0.060"," 0.220","Exosome","0.746"
"P54652","Heat shock-related 70 kDa protein 2 ","HSPA2",664," 1.870 +/- 0.124"," 0.903","1.641 +/- 0.010"," 0.714","Exosome","0.861"
"P11166","Solute carrier family 2; facilitated glucose transporter member 1 ","SLC2A1",665," 1.154 +/- 0.093"," 0.207","0.846 +/- 0.078","-0.241","Non-Exosome","0.511"
"P11169","Solute carrier family 2; facilitated glucose transporter member 3 ","SLC2A3",666," 0.880 +/- 0.190","-0.184","0.601 +/- 0.348","-0.735","Non-Exosome","0.796"
"P11172","Uridine 5'-monophosphate synthase ","UMPS",667," 0.568 +/- 0.155","-0.816","0.393 +/- 0.184","-1.346","Non-Exosome","0.923"
"Q8WXG9","G-protein coupled receptor 98 ","GPR98",668," 0.452 +/- 0.032","-1.144","0.118 +/- 0.002","-3.089","Non-Exosome","0.786"
"P11177-2","Isoform 2 of Pyruvate dehydrogenase E1 component subunit beta; mitochondrial ","PDHB",668," 0.327 +/- 0.035","-1.612","0.181 +/- 0.032","-2.463","Non-Exosome","0.875"
"O75881","25-hydroxycholesterol 7-alpha-hydroxylase ","CYP7B1",669," 0.690 +/- 0.090","-0.535","0.355 +/- 0.025","-1.494","Non-Exosome","0.912"
"P11217-2","Isoform 2 of Glycogen phosphorylase; muscle form ","PYGM",669," 0.490 +/- 0.055","-1.030","0.263 +/- 0.037","-1.925","Non-Exosome","0.923"
"P11217","Glycogen phosphorylase; muscle form ","PYGM",669," 0.543 +/- 0.006","-0.881","0.292 +/- 0.012","-1.778","Non-Exosome","0.925"
"P06737-2","Isoform 2 of Glycogen phosphorylase; liver form ","PYGL",669," 0.693 +/- 0.128","-0.529","0.402 +/- 0.095","-1.314","Non-Exosome","0.908"
"P11216","Glycogen phosphorylase; brain form ","PYGB",669," 0.546 +/- 0.002","-0.873","0.310 +/- 0.025","-1.689","Non-Exosome","0.927"
"H7C3P7","Ras-related protein Ral-A (Fragment) ","RALA",670," 0.826 +/- 0.210","-0.275","0.650 +/- 0.056","-0.621","Non-Exosome","0.790"
"P11233","Ras-related protein Ral-A ","RALA",670," 0.851 +/- 0.235","-0.233","0.613 +/- 0.019","-0.705","Non-Exosome","0.800"
"P11234","Ras-related protein Ral-B ","RALB",670," 1.465 +/- 0.155"," 0.551","1.057 +/- 0.317"," 0.080","Exosome","0.714"
"P11279","Lysosome-associated membrane glycoprotein 1 ","LAMP1",671," 0.448 +/- 0.108","-1.160","0.275 +/- 0.005","-1.862","Non-Exosome","0.925"
"P11310-2","Isoform 2 of Medium-chain specific acyl-CoA dehydrogenase; mitochondrial ","ACADM",672," 0.369 +/- 0.047","-1.438","0.208 +/- 0.047","-2.263","Non-Exosome","0.900"
"Q969P6-2","Isoform 2 of DNA topoisomerase I; mitochondrial ","TOP1MT",673," 0.301 +/- 0.095","-1.732","0.137 +/- 0.017","-2.868","Non-Exosome","0.814"
"P11387","DNA topoisomerase 1 ","TOP1",673," 0.451 +/- 0.036","-1.149","0.217 +/- 0.012","-2.204","Non-Exosome","0.909"
"P11388-2","Isoform 2 of DNA topoisomerase 2-alpha ","TOP2A",674," 0.401 +/- 0.002","-1.318","0.219 +/- 0.009","-2.193","Non-Exosome","0.908"
"Q02880-2","Isoform Beta-1 of DNA topoisomerase 2-beta ","TOP2B",674," 0.452 +/- 0.003","-1.145","0.236 +/- 0.026","-2.086","Non-Exosome","0.916"
"Q15013-3","Isoform 2 of MAD2L1-binding protein ","MAD2L1BP",675," 0.475 +/- 0.015","-1.074","0.265 +/- 0.035","-1.916","Non-Exosome","0.924"
"P11413-2","Isoform Long of Glucose-6-phosphate 1-dehydrogenase ","G6PD",675," 0.500 +/- 0.037","-0.999","0.300 +/- 0.027","-1.735","Non-Exosome","0.928"
"P11498","Pyruvate carboxylase; mitochondrial ","PC",676," 0.577 +/- 0.003","-0.793","0.167 +/- 0.002","-2.586","Non-Exosome","0.860"
"P11586","C-1-tetrahydrofolate synthase; cytoplasmic ","MTHFD1",677," 0.718 +/- 0.061","-0.478","0.319 +/- 0.014","-1.647","Non-Exosome","0.908"
"P11766","Alcohol dehydrogenase class-3 ","ADH5",678," 0.607 +/- 0.199","-0.719","0.318 +/- 0.008","-1.654","Non-Exosome","0.922"
"P60891","Ribose-phosphate pyrophosphokinase 1 ","PRPS1",679," 0.578 +/- 0.125","-0.792","0.334 +/- 0.024","-1.583","Non-Exosome","0.925"
"P11908-2","Isoform 2 of Ribose-phosphate pyrophosphokinase 2 ","PRPS2",679," 0.604 +/- 0.026","-0.727","0.315 +/- 0.027","-1.666","Non-Exosome","0.922"
"Q5JQF8","Polyadenylate-binding protein 1-like 2 ","PABPC1L2A",680," 0.781 +/- 0.201","-0.357","0.268 +/- 0.080","-1.898","Non-Exosome","0.891"
"P0CB38","Polyadenylate-binding protein 4-like ","PABPC4L",680," 0.340 +/- 0.077","-1.558","0.119 +/- 0.046","-3.069","Non-Exosome","0.788"
"Q9H361","Polyadenylate-binding protein 3 ","PABPC3",680," 0.614 +/- 0.097","-0.704","0.292 +/- 0.072","-1.774","Non-Exosome","0.920"
"H0YAR2","Polyadenylate-binding protein 1 (Fragment) ","PABPC1",680," 0.477 +/- 0.052","-1.068","0.375 +/- 0.011","-1.416","Non-Exosome","0.927"
"P11940-2","Isoform 2 of Polyadenylate-binding protein 1 ","PABPC1",680," 0.599 +/- 0.079","-0.740","0.347 +/- 0.030","-1.527","Non-Exosome","0.923"
"Q13310-2","Isoform 2 of Polyadenylate-binding protein 4 ","PABPC4",680," 0.436 +/- 0.046","-1.197","0.258 +/- 0.052","-1.956","Non-Exosome","0.922"
"P12004","Proliferating cell nuclear antigen ","PCNA",681," 0.507 +/- 0.180","-0.980","0.300 +/- 0.057","-1.735","Non-Exosome","0.928"
"B4DQ67","Probable histidine--tRNA ligase; mitochondrial ","HARS2",682," 0.872 +/- 0.558","-0.197","0.625 +/- 0.385","-0.678","Non-Exosome","0.786"
"P49590-2","Isoform 2 of Probable histidine--tRNA ligase; mitochondrial ","HARS2",683," 0.948 +/- 0.482","-0.077","0.640 +/- 0.370","-0.644","Non-Exosome","0.748"
"P12081-4","Isoform 4 of Histidine--tRNA ligase; cytoplasmic ","HARS",683," 0.641 +/- 0.050","-0.641","0.408 +/- 0.001","-1.294","Non-Exosome","0.914"
"P12111-2","Isoform 2 of Collagen alpha-3(VI) chain ","COL6A3",684," 1.674 +/- 0.371"," 0.743","0.926 +/- 0.224","-0.111","Exosome","0.709"
