"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"P07339","CTSD","Cathepsin D ","","Non-Exosome"
"H0YNP5","ANXA2","Annexin (Fragment) ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"A6NMY6","ANXA2P2","Putative annexin A2-like protein ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"P07355-2","ANXA2","Isoform 2 of Annexin A2 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"P02748","C9","Complement component C9 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P07384","CAPN1","Calpain-1 catalytic subunit ","GO:0005886 Plasma Membrane","Non-Exosome"
"P07686","HEXB","Beta-hexosaminidase subunit beta ","","Non-Exosome"
"P07737","PFN1","Profilin-1 ","","Non-Exosome"
"P07814","EPRS","Bifunctional glutamate/proline--tRNA ligase ","GO:0005829 Cytosol","Non-Exosome"
"P07858","CTSB","Cathepsin B ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q5QPM0","RALY","RNA-binding protein Raly (Fragment) ","","Non-Exosome"
"O75691","UTP20","Small subunit processome component 20 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P07910-2","HNRNPC","Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 ","","Non-Exosome"
"Q9UKM9-2","RALY","Isoform 1 of RNA-binding protein Raly ","","Non-Exosome"
"P07954-2","FH","Isoform Cytoplasmic of Fumarate hydratase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"E5RFF0","ANXA6","Annexin A6 (Fragment) ","GO:0005886 Plasma Membrane","Non-Exosome"
"P08133-2","ANXA6","Isoform 2 of Annexin A6 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P09525","ANXA4","Annexin A4 ","","Non-Exosome"
"P50995-2","ANXA11","Isoform 2 of Annexin A11 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q6P3S1-2","DENND1B","Isoform 2 of DENN domain-containing protein 1B ","","Exosome"
"P08174-2","CD55","Isoform 1 of Complement decay-accelerating factor ","GO:0005886 Plasma Membrane","Exosome"
"P08195-2","SLC3A2","Isoform 2 of 4F2 cell-surface antigen heavy chain ","GO:0005886 Plasma Membrane","Exosome"
"P08237-3","PFKM","Isoform 3 of ATP-dependent 6-phosphofructokinase; muscle type ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"O00585","CCL21","C-C motif chemokine 21 ","","Non-Exosome"
"Q58FF6","HSP90AB4P","Putative heat shock protein HSP 90-beta 4 ","","Non-Exosome"
"Q14568","HSP90AA2","Putative heat shock protein HSP 90-alpha A2 ","GO:0005829 Cytosol","Non-Exosome"
"Q58FF8","HSP90AB2P","Putative heat shock protein HSP 90-beta 2 ","","Non-Exosome"
"Q58FF3","HSP90B2P","Putative endoplasmin-like protein ","","Non-Exosome"
"Q58FF7","HSP90AB3P","Putative heat shock protein HSP 90-beta-3 ","","Non-Exosome"
"Q86UQ4-3","ABCA13","Isoform 3 of ATP-binding cassette sub-family A member 13 ","","Non-Exosome"
"P07900-2","HSP90AA1","Isoform 2 of Heat shock protein HSP 90-alpha ","GO:0005829 Cytosol","Non-Exosome"
"P08238","HSP90AB1","Heat shock protein HSP 90-beta ","","Non-Exosome"
"P14625","HSP90B1","Endoplasmin ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005829 Cytosol","Non-Exosome"
"Q12931-2","TRAP1","Isoform 2 of Heat shock protein 75 kDa; mitochondrial ","","Non-Exosome"
"Q9Y2X3","NOP58","Nucleolar protein 58 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P29803","PDHA2","Pyruvate dehydrogenase E1 component subunit alpha; testis-specific form; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P08559-2","PDHA1","Isoform 2 of Pyruvate dehydrogenase E1 component subunit alpha; somatic form; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P09012","SNRPA","U1 small nuclear ribonucleoprotein A ","","Non-Exosome"
"P08579","SNRPB2","U2 small nuclear ribonucleoprotein B'' ","","Non-Exosome"
"P08582","MFI2","Melanotransferrin ","GO:0005886 Plasma Membrane","Non-Exosome"
"P08621-2","SNRNP70","Isoform 2 of U1 small nuclear ribonucleoprotein 70 kDa ","","Non-Exosome"
"P08648","ITGA5","Integrin alpha-5 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P08708","RPS17","40S ribosomal protein S17 ","GO:0005829 Cytosol","Non-Exosome"
"D6RBL5","ANXA5","Annexin ","","Non-Exosome"
"P08758","ANXA5","Annexin A5 ","","Non-Exosome"
"P08865","RPSA","40S ribosomal protein SA ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P08962-2","CD63","Isoform 2 of CD63 antigen ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Exosome"
"P09382","LGALS1","Galectin-1 ","GO:0031012 Extracellular Matrix","Non-Exosome"
"P09429","HMGB1","High mobility group protein B1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P28161-2","GSTM2","Isoform 2 of Glutathione S-transferase Mu 2 ","","Non-Exosome"
"P46439","GSTM5","Glutathione S-transferase Mu 5 ","","Non-Exosome"
"P09488-2","GSTM1","Isoform 2 of Glutathione S-transferase Mu 1 ","","Non-Exosome"
"P09496-2","CLTA","Isoform Non-brain of Clathrin light chain A ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P09497-2","CLTB","Isoform Non-brain of Clathrin light chain B ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P09543","CNP","2';3'-cyclic-nucleotide 3'-phosphodiesterase ","","Exosome"
"Q1KMD3","HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2 ","","Non-Exosome"
"P09622","DLD","Dihydrolipoyl dehydrogenase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P09661","SNRPA1","U2 small nuclear ribonucleoprotein A' ","","Non-Exosome"
"P09669","COX6C","Cytochrome c oxidase subunit 6C ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P09874","PARP1","Poly [ADP-ribose] polymerase 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P09914-2","IFIT1","Isoform 2 of Interferon-induced protein with tetratricopeptide repeats 1 ","","Non-Exosome"
"P09960-4","LTA4H","Isoform 4 of Leukotriene A-4 hydrolase ","","Non-Exosome"
"P10155-3","TROVE2","Isoform 3 of 60 kDa SS-A/Ro ribonucleoprotein ","","Non-Exosome"
"P10515","DLAT","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P10599","TXN","Thioredoxin ","GO:0005829 Cytosol","Non-Exosome"
"F5H760","MGST1","Microsomal glutathione S-transferase 1 (Fragment) ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P10620","MGST1","Microsomal glutathione S-transferase 1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P05187","ALPP","Alkaline phosphatase; placental type ","GO:0005886 Plasma Membrane","Exosome"
"P10696","ALPPL2","Alkaline phosphatase; placental-like ","GO:0005886 Plasma Membrane","Exosome"
"P10768","ESD","S-formylglutathione hydrolase ","","Non-Exosome"
"P10809","HSPD1","60 kDa heat shock protein; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P10909-2","CLU","Isoform 2 of Clusterin ","","Non-Exosome"
"Q00341-2","HDLBP","Isoform 2 of Vigilin ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11047","LAMC1","Laminin subunit gamma-1 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"P48741","HSPA7","Putative heat shock 70 kDa protein 7 ","","Exosome"
"E9PK54","HSPA8","Heat shock cognate 71 kDa protein (Fragment) ","GO:0005829 Cytosol","Exosome"
"P17066","HSPA6","Heat shock 70 kDa protein 6 ","","Exosome"
"P08107","HSPA1A","Heat shock 70 kDa protein 1A/1B ","","Exosome"
"P11021","HSPA5","78 kDa glucose-regulated protein ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005829 Cytosol","Non-Exosome"
"P11142","HSPA8","Heat shock cognate 71 kDa protein ","GO:0005829 Cytosol","Exosome"
"P34931","HSPA1L","Heat shock 70 kDa protein 1-like ","","Exosome"
"P54652","HSPA2","Heat shock-related 70 kDa protein 2 ","","Exosome"
"P11166","SLC2A1","Solute carrier family 2; facilitated glucose transporter member 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11169","SLC2A3","Solute carrier family 2; facilitated glucose transporter member 3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11172","UMPS","Uridine 5'-monophosphate synthase ","","Non-Exosome"
"Q8WXG9","GPR98","G-protein coupled receptor 98 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11177-2","PDHB","Isoform 2 of Pyruvate dehydrogenase E1 component subunit beta; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O75881","CYP7B1","25-hydroxycholesterol 7-alpha-hydroxylase ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P11217-2","PYGM","Isoform 2 of Glycogen phosphorylase; muscle form ","","Non-Exosome"
"P11217","PYGM","Glycogen phosphorylase; muscle form ","","Non-Exosome"
"P06737-2","PYGL","Isoform 2 of Glycogen phosphorylase; liver form ","","Non-Exosome"
"P11216","PYGB","Glycogen phosphorylase; brain form ","","Non-Exosome"
"H7C3P7","RALA","Ras-related protein Ral-A (Fragment) ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11233","RALA","Ras-related protein Ral-A ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11234","RALB","Ras-related protein Ral-B ","GO:0005886 Plasma Membrane","Exosome"
"P11279","LAMP1","Lysosome-associated membrane glycoprotein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11310-2","ACADM","Isoform 2 of Medium-chain specific acyl-CoA dehydrogenase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q969P6-2","TOP1MT","Isoform 2 of DNA topoisomerase I; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P11387","TOP1","DNA topoisomerase 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P11388-2","TOP2A","Isoform 2 of DNA topoisomerase 2-alpha ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q02880-2","TOP2B","Isoform Beta-1 of DNA topoisomerase 2-beta ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q15013-3","MAD2L1BP","Isoform 2 of MAD2L1-binding protein ","","Non-Exosome"
"P11413-2","G6PD","Isoform Long of Glucose-6-phosphate 1-dehydrogenase ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P11498","PC","Pyruvate carboxylase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P11586","MTHFD1","C-1-tetrahydrofolate synthase; cytoplasmic ","","Non-Exosome"
"P11766","ADH5","Alcohol dehydrogenase class-3 ","","Non-Exosome"
"P60891","PRPS1","Ribose-phosphate pyrophosphokinase 1 ","GO:0005829 Cytosol","Non-Exosome"
"P11908-2","PRPS2","Isoform 2 of Ribose-phosphate pyrophosphokinase 2 ","","Non-Exosome"
"Q5JQF8","PABPC1L2A","Polyadenylate-binding protein 1-like 2 ","","Non-Exosome"
"P0CB38","PABPC4L","Polyadenylate-binding protein 4-like ","","Non-Exosome"
"Q9H361","PABPC3","Polyadenylate-binding protein 3 ","","Non-Exosome"
"H0YAR2","PABPC1","Polyadenylate-binding protein 1 (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"P11940-2","PABPC1","Isoform 2 of Polyadenylate-binding protein 1 ","GO:0005829 Cytosol","Non-Exosome"
"Q13310-2","PABPC4","Isoform 2 of Polyadenylate-binding protein 4 ","","Non-Exosome"
"P12004","PCNA","Proliferating cell nuclear antigen ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"B4DQ67","HARS2","Probable histidine--tRNA ligase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P49590-2","HARS2","Isoform 2 of Probable histidine--tRNA ligase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P12081-4","HARS","Isoform 4 of Histidine--tRNA ligase; cytoplasmic ","GO:0005829 Cytosol","Non-Exosome"
"P12111-2","COL6A3","Isoform 2 of Collagen alpha-3(VI) chain ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Exosome"
"P12268","IMPDH2","Inosine-5'-monophosphate dehydrogenase 2 ","GO:0005829 Cytosol","Non-Exosome"
"O95197-2","RTN3","Isoform 2 of Reticulon-3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P12429","ANXA3","Annexin A3 ","","Non-Exosome"
"Q9NQC3-2","RTN4","Isoform 2 of Reticulon-4 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P12956","XRCC6","X-ray repair cross-complementing protein 6 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P13010","XRCC5","X-ray repair cross-complementing protein 5 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P13073","COX4I1","Cytochrome c oxidase subunit 4 isoform 1; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P13489","RNH1","Ribonuclease inhibitor ","","Non-Exosome"
"I3L514","P4HB","Protein disulfide-isomerase ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"I3L3P5","P4HB","Protein disulfide-isomerase (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"H7BZJ3","PDIA3","Protein disulfide-isomerase A3 (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"H0Y3Z3","P4HB","Protein disulfide-isomerase (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"H7BZ94","P4HB","Protein disulfide-isomerase ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P07237","P4HB","Protein disulfide-isomerase ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P13667","PDIA4","Protein disulfide-isomerase A4 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"P30101","PDIA3","Protein disulfide-isomerase A3 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"Q15084-2","PDIA6","Isoform 2 of Protein disulfide-isomerase A6 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"Q8NBS9","TXNDC5","Thioredoxin domain-containing protein 5 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"Q96JJ7","TMX3","Protein disulfide-isomerase TMX3 ","","Non-Exosome"
"P13693-2","TPT1","Isoform 2 of Translationally-controlled tumor protein ","","Non-Exosome"
"P13726","F3","Tissue factor ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Exosome"
"C9JAM8","PLS1","Plastin-1 (Fragment) ","","Non-Exosome"
"Q14651","PLS1","Plastin-1 ","","Non-Exosome"
"P13796","LCP1","Plastin-2 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P13797","PLS3","Plastin-3 ","","Non-Exosome"
"P13804-2","ETFA","Isoform 2 of Electron transfer flavoprotein subunit alpha; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P13804","ETFA","Electron transfer flavoprotein subunit alpha; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P13807-2","GYS1","Isoform 2 of Glycogen [starch] synthase; muscle ","GO:0005829 Cytosol","Non-Exosome"
"P13987","CD59","CD59 glycoprotein ","GO:0005886 Plasma Membrane","Exosome"
"P14314-2","PRKCSH","Isoform 2 of Glucosidase 2 subunit beta ","","Non-Exosome"
"P14618-2","PKM","Isoform M1 of Pyruvate kinase PKM ","","Non-Exosome"
"Q92611","EDEM1","ER degradation-enhancing alpha-mannosidase-like protein 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P14678-2","SNRPB","Isoform SM-B of Small nuclear ribonucleoprotein-associated proteins B and B' ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"M0QYT0","","Uncharacterized protein (Fragment) ","","Non-Exosome"
"Q8WVV9-4","HNRNPLL","Isoform 4 of Heterogeneous nuclear ribonucleoprotein L-like ","","Non-Exosome"
"P14866","HNRNPL","Heterogeneous nuclear ribonucleoprotein L ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q13011","ECH1","Delta(3;5)-Delta(2;4)-dienoyl-CoA isomerase; mitochondrial ","","Non-Exosome"
"P14868","DARS","Aspartate--tRNA ligase; cytoplasmic ","GO:0005829 Cytosol","Non-Exosome"
"P14927","UQCRB","Cytochrome b-c1 complex subunit 7 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"E9PEF9","AKR1B1","Aldose reductase ","GO:0005829 Cytosol","Non-Exosome"
"P14550","AKR1A1","Alcohol dehydrogenase [NADP(+)] ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P15121","AKR1B1","Aldose reductase ","GO:0005829 Cytosol","Non-Exosome"
"P15170-2","GSPT1","Isoform 2 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A ","","Non-Exosome"
"P15529-10","CD46","Isoform 2 of Membrane cofactor protein ","GO:0005886 Plasma Membrane","Exosome"
"E9PPT0","RPS2","40S ribosomal protein S2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P15880","RPS2","40S ribosomal protein S2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P15924","DSP","Desmoplakin ","GO:0005886 Plasma Membrane","Non-Exosome"
"P16070-10","CD44","Isoform 10 of CD44 antigen ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Exosome"
"P16144-2","ITGB4","Isoform Beta-4A of Integrin beta-4 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P16152","CBR1","Carbonyl reductase [NADPH] 1 ","","Non-Exosome"
"P10412","HIST1H1E","Histone H1.4 ","","Non-Exosome"
"P16403","HIST1H1C","Histone H1.2 ","","Non-Exosome"
"P16435","POR","NADPH--cytochrome P450 reductase ","","Non-Exosome"
"P16615-2","ATP2A2","Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P16949","STMN1","Stathmin ","","Non-Exosome"
"P17096","HMGA1","High mobility group protein HMG-I/HMG-Y ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P17252","PRKCA","Protein kinase C alpha type ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P17301","ITGA2","Integrin alpha-2 ","GO:0005886 Plasma Membrane","Exosome"
"E7ESP4","ITGA2","Integrin alpha-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P17655","CAPN2","Calpain-2 catalytic subunit ","GO:0005886 Plasma Membrane","Non-Exosome"
"P17812","CTPS1","CTP synthase 1 ","","Non-Exosome"
"P17813-2","ENG","Isoform Short of Endoglin ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q92841-2","DDX17","Isoform 3 of Probable ATP-dependent RNA helicase DDX17 ","","Non-Exosome"
"O00571-2","DDX3X","Isoform 2 of ATP-dependent RNA helicase DDX3X ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P17844","DDX5","Probable ATP-dependent RNA helicase DDX5 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q02878","RPL6","60S ribosomal protein L6 ","GO:0005829 Cytosol","Non-Exosome"
